,mean simul. packing efficiency,mean abs simul. packing efficiency,MagpieData mode CovalentRadius,MagpieData mode NdUnfilled,MagpieData mode NUnfilled,MagpieData mode GSvolume_pa,std_dev wt CN_9,std_dev q2 CN_9,std_dev q4 CN_9,std_dev q6 CN_9,mean wt CN_12,mean cuboctahedral CN_12,mean q2 CN_12,mean q4 CN_12,mean q6 CN_12,minimum neighbor distance variation,range neighbor distance variation,avg_dev neighbor distance variation,xrd_19,xrd_20,xrd_21,xrd_22,xrd_23,xrd_24,xrd_39,xrd_40,xrd_43,xrd_44,xrd_45,xrd_46,xrd_47,xrd_48,xrd_57,xrd_58,xrd_61,xrd_62,xrd_63,xrd_72,xrd_85,xrd_86,xrd_99,xrd_110,xrd_113,xrd_119,xrd_125,xrd_126,xrd_127,OFM: d^4 - d^5,OFM: d^5 - d^4,jml_rdf_19,jml_rdf_24,jml_rdf_29,jml_rdf_37,jml_rdf_39,jml_rdf_42,jml_rdf_52,jml_rdf_61,jml_rdf_62,jml_rdf_66,jml_rdf_69,jml_rdf_73,jml_rdf_79,jml_rdf_84,jml_rdf_91,jml_rdf_92,jml_rdf_98,jml_adf1_33,jml_adf1_36,jml_adf1_38,jml_adf1_43,jml_adf1_49,jml_adf1_51,jml_adf1_74,jml_adf1_76,jml_adf1_85,jml_adf1_88,jml_adf1_91,jml_adf1_93,jml_adf1_94,jml_adf1_103,jml_adf1_108,jml_adf1_111,jml_adf1_118,jml_adf1_119,jml_adf1_128,jml_adf1_141,jml_adf1_146,jml_adf1_147,jml_adf1_149,jml_adf1_163,jml_adf1_177,jml_adf2_53,jml_adf2_55,jml_adf2_56,jml_adf2_72,jml_adf2_87,jml_adf2_88,jml_adf2_91,jml_adf2_92,jml_adf2_108,jml_adf2_111,jml_adf2_123,jml_adf2_124,jml_adf2_126,jml_adf2_147,jml_adf2_149,jml_adf2_177,jml_ddf_6,jml_ddf_10,jml_ddf_11,jml_ddf_13,jml_ddf_14,jml_ddf_15,jml_ddf_16,jml_ddf_19,jml_ddf_20,jml_ddf_24,jml_ddf_25,jml_ddf_26,jml_ddf_27,jml_ddf_30,jml_ddf_33,jml_ddf_36,jml_ddf_37,jml_ddf_39,jml_ddf_41,jml_ddf_44,jml_ddf_47,jml_ddf_50,jml_ddf_53,jml_ddf_54,jml_ddf_58,jml_ddf_59,jml_ddf_61,jml_ddf_64,jml_ddf_66,jml_ddf_69,jml_ddf_71,jml_ddf_72,jml_ddf_75,jml_ddf_76,jml_ddf_77,jml_ddf_82,jml_ddf_84,jml_ddf_85,jml_ddf_86,jml_ddf_93,jml_ddf_94,jml_ddf_95,jml_ddf_97,jml_ddf_99,jml_ddf_101,jml_ddf_103,jml_ddf_106,jml_ddf_107,jml_ddf_112,jml_ddf_113,jml_ddf_115,jml_ddf_117,jml_ddf_118,jml_ddf_119,jml_ddf_121,jml_ddf_123,jml_ddf_125,jml_ddf_126,jml_ddf_129,jml_ddf_130,jml_ddf_131,jml_ddf_135,jml_ddf_136,jml_ddf_137,jml_ddf_140,jml_ddf_141,jml_ddf_142,jml_ddf_143,jml_ddf_147,jml_ddf_148,jml_ddf_152,jml_ddf_153,jml_ddf_154,jml_ddf_156,jml_ddf_158,jml_ddf_162,jml_ddf_163,jml_ddf_164,jml_ddf_165,jml_ddf_166,jml_ddf_167,jml_ddf_171,jml_ddf_178,jml_nn_19,jml_nn_24,jml_nn_28,jml_nn_29,jml_nn_37,jml_nn_39,jml_nn_42,jml_nn_52,jml_nn_61,jml_nn_62,jml_nn_66,jml_nn_69,jml_nn_70,jml_nn_79,jml_nn_84,jml_nn_91,jml_nn_92,jml_nn_98,crystal_system_int,is_centrosymmetric
0,-0.01136564,0.021316388,154,5,6,15.69,0,0,0,0,0.229289661,0.229289661,0.038214944,0.031418307,0.128185608,0.051981525,2.77556E-17,1.38778E-17,6.7162E-76,7.73422E-69,3.96348E-62,9.03868E-56,9.17276E-50,4.1425E-44,0.174891959,0.186813624,0.001768187,7.40689E-05,1.38074E-06,1.14539E-08,4.22827E-11,6.94976E-14,0.031473761,0.025055581,9.81693E-05,3.06479E-06,4.25787E-08,0.063248998,0.019569219,0.015931029,0.027981534,0.001779839,0.007046348,3.54036E-11,3.90258E-32,7.37375E-37,6.2E-42,0.497879997,0.497879997,0,0,0,0,0,0,0,0,0,0,0,6.0654,5.1736,6.0968,0,1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,4.666666667,4,5,4,1,4,5,4,2,6,9,1,1,3,4,2,5,4,3,6,1,12.68181818,13.33333333,10.18181818,2,3,5,3,1,6,5,1,2,0,0,6,6,0,0,0,4,1,3,0,2,5,1.666666667,12.33333333,15.46666667,15.68181818,16.83333333,14.18181818,6,2,2,1,3.5,1,5,1,4,2,6,1,4,6,6,6,4,1,4,4,1,3,4,6,6.666666667,4,9,5,0,0,8,0,0,0,0,0,0,0,0,0,0,24,32,0,12,0,5,TRUE
1,-0.01136564,0.021316388,154,5,6,15.69,0,0,0,0,0,0,0,0,0,0.051981525,1.59595E-16,7.97973E-17,6.7162E-76,7.73422E-69,3.96348E-62,9.03868E-56,9.17276E-50,4.1425E-44,0.174891959,0.186813624,0.001768187,7.40689E-05,1.38074E-06,1.14539E-08,4.22827E-11,6.94976E-14,0.031473761,0.025055581,9.81693E-05,3.06479E-06,4.25787E-08,0.063248998,0.019569219,0.015931029,0.027981534,0.001779839,0.007046348,3.54036E-11,3.90258E-32,7.37375E-37,6.2E-42,0.759046056,0.759046056,0,0,0,0,0,0,0,0,0,0,0,6.0654,5.1736,6.0968,0,1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,24,32,0,12,0,1,TRUE
2,0.000488098,0.019021012,154,5,6,15.69,0,0,0,0,0.076429887,0.076429887,0.012738315,0.010472769,0.042728536,0.051981525,6.245E-17,2.54426E-17,2.66752E-75,2.21401E-68,8.39597E-62,1.45472E-55,1.1516E-49,4.16527E-44,0.148865817,0.194181264,0.003920541,0.000222857,5.78793E-06,6.86811E-08,3.72364E-10,9.22399E-13,0.027137522,0.029563883,0.000347726,1.65081E-05,3.58073E-07,0.060148862,0.014214479,0.01954902,0.032527523,0.000207815,0.009735909,1.39583E-08,1.13423E-26,7.06379E-31,2.00998E-35,0.333994496,0.333994487,0,0,0,0,0,0,0,0,0,0,0,0,5.0778,5.9839,1.9102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,21,18,22,18,22,22.06666667,19,19.33333333,22,23,21,18,22.25,13,23,21,16,25,26,18,26,43,22,30,31,30,28,26,25,22.33333333,19,21,19,25,14,16,21,19,14,13,30,19,16,23,23,19,24,29,37,29,39,20,33,36,32,23,26,28,18,20,20,19,21,25,27,22,16,16.66666667,23,21,15,26,26,24,21,23,21,28,33,32,44,0,0,8,0,0,0,0,0,0,0,0,0,24,24,32,12,0,0,5,TRUE
3,0.000488098,0.019021012,154,5,6,15.69,0,0,0,0,0,0,0,0,0,0.051981524,7.91059E-10,3.51582E-10,2.66752E-75,2.21401E-68,8.39597E-62,1.45472E-55,1.1516E-49,4.16527E-44,0.148865817,0.194181264,0.003920541,0.000222857,5.78793E-06,6.86811E-08,3.72364E-10,9.22399E-13,0.027137522,0.029563883,0.000347726,1.65081E-05,3.58073E-07,0.060148862,0.014214479,0.01954902,0.032527523,0.000207815,0.009735909,1.39583E-08,1.13423E-26,7.06379E-31,2.00998E-35,0.500991735,0.500991735,0,0,0,0,0,0,0,0,0,0,0,0,5.0778,5.9839,1.9102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,10,11,6,4,6,10,13,7,14,10,8,12,7,8,8,10,10,7,10,4,7,13,12,9,13,10,3,6,10,7,3,7,4,8,11,15,10,10,15,12,8,5,6,8,3,5,13,7,9,9,6,10,11,8,8,10,7,13,4,5,8,8,5,11,10,12,7,10,6,11,11,9,11,9,7,11,10,12,9,13,14,0,0,8,0,0,0,0,0,0,0,0,0,24,24,32,12,0,0,3,TRUE
4,0.000488098,0.019021012,154,5,6,15.69,0.108088183,0.012009798,0.040497015,0.065604182,0,0,0,0,0,0.051981524,1.58212E-09,7.03164E-10,2.66752E-75,2.21401E-68,8.39597E-62,1.45472E-55,1.1516E-49,4.16527E-44,0.148865817,0.194181264,0.003920541,0.000222857,5.78793E-06,6.86811E-08,3.72364E-10,9.22399E-13,0.027137522,0.029563883,0.000347726,1.65081E-05,3.58073E-07,0.060148862,0.014214479,0.01954902,0.032527523,0.000207815,0.009735909,1.39583E-08,1.13423E-26,7.06379E-31,2.00998E-35,0.548892285,0.548892279,0,0,0,0,0,0,0,0,0,0,0,0,5.0778,5.9839,1.9102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14.25,13,8,10,14,10,11.11111111,12,13,15,10,9,14,10,13,8,9,15,9,12,15,13,8,13,15.5,12,19,11,12,9,6,13,16,12,10,11,6,4,4,6,12,11,12,8,15,9,6,17,16,15,17.5,10,18,7.5,7.5,12,12,11,11,13,17,13,11,12,16.33333333,7,16,10,9,10,12,7,18,14,15,17,12,12,15,9,9,9,0,0,8,0,0,0,0,0,0,0,0,0,24,24,32,12,0,0,4,TRUE
5,0.023819414,0.023819414,164,6,7,18.18,0,0,0,0,0.076429887,0.076429887,0.012738314,0.010472769,0.042728536,0.051981525,2.08167E-16,8.32667E-17,2.08124E-35,3.76799E-32,4.66162E-29,3.94096E-26,2.2767E-23,8.98771E-21,0.113619881,0.101395521,0.00733745,0.001427792,0.000189856,1.72513E-05,1.07154E-06,5.76882E-08,0.017878474,0.012896774,0.000492908,7.75369E-05,8.50076E-06,0.031780246,0.010363094,0.006503275,0.009887004,0.005446266,0.001761685,3.11556E-05,0.039940422,0.034725035,0.020630587,0.328856119,0.328856119,0,0,13.4514,0,0,0,0,0,0,1.4857,0,6.2365,0,0,0,1.9577,4.3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,26,23,20,18,22,19,17,15,21,19,18,11,19,22,14,10,16,11,23,26,15,24,29,30,33,26,26.9,14,26,20,24,16,21,9,18,23,9,18,16,10,15,20,26,15,18,17,19,21,18,18,30.25,27,21,35.66666667,32,32,24,16,21,21,27,20,14,20,14,15,16,16,19,14,23,24,15.0952381,21,21,20,23,20,21,29,27,44,0,0,0,8,0,0,0,0,0,0,4.666666667,0,0,0,0,0,12,30,5,TRUE
6,0.023819414,0.023819414,164,6,7,18.18,0,0,0,0,0,0,0,0,0,0.051981524,7.9106E-10,3.51582E-10,2.08124E-35,3.76799E-32,4.66162E-29,3.94096E-26,2.2767E-23,8.98771E-21,0.113619881,0.101395521,0.00733745,0.001427792,0.000189856,1.72513E-05,1.07154E-06,5.76882E-08,0.017878474,0.012896774,0.000492908,7.75369E-05,8.50076E-06,0.031780246,0.010363094,0.006503275,0.009887004,0.005446266,0.001761685,3.11556E-05,0.039940422,0.034725035,0.020630587,0.49328417,0.49328417,0,0,13.4514,0,0,0,0,0,0,0.849,0,6.2365,0,0,0,1.9577,4.3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,7,7,6,9,5,3,5,4,3,5,5.333333333,1,0,7,4,5,7,5,4,2,8,15,15,22,20,12,12,3,6,7,11,6,3,2,2,1,0,1,1,1,5,4,5,11,4,9,6,9,6,14,11,9,13,10,11,10,5,6,5,7,6,5,3,3,1,2,2,3,2,2,6,2,4,6,5,7,5,8,10,7,24,0,0,0,8,0,0,0,0,0,0,2.666666667,0,0,0,0,0,12,30,3,TRUE
7,0.023819414,0.023819414,164,6,7,18.18,0.108088183,0.012009798,0.040497015,0.065604182,0,0,0,0,0,0.051981524,1.58212E-09,7.03164E-10,2.2555E-35,4.04957E-32,4.97048E-29,4.17071E-26,2.39246E-23,9.38214E-21,0.112947453,0.100808192,0.007316271,0.001426263,0.000190078,1.73176E-05,0.000001079,5.84112E-08,0.01795252,0.01295489,0.000496929,7.83303E-05,8.60993E-06,0.031917141,0.010406885,0.006534139,0.009934491,0.005468977,0.001771252,3.15338E-05,0.040104903,0.034873461,0.020730763,0.540447788,0.540447788,0,0,13.4514,0,0,0,0,0,0,1.4857,0,6.2365,0,0,0,1.9577,4.3104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,6,8.25,5.5,3,4,11.33333333,5,4,8,4,12,4,5,4,6,7.5,6,3,7,7,5,13.33333333,15.75,13,15,13.5,8,5,3,9.571428571,7,11,7.333333333,4,1,0,0,0,0,1,5,11.33333333,5,16.5,8.333333333,7.333333333,12,7.25,11.5,17.33333333,14,9.666666667,13,11.25,7.5,4,4,7.2,2,12,6,9,4.5,5,5,6,6,8,8,8,6.5,9,7,6,3,4,4,12,9,8,13,0,0,0,8,0,0,0,0,0,0,4.666666667,0,0,0,0,0,12,30,4,TRUE
8,0.00638977,0.019068791,154,5,6,15.69,0,0,0,0,0.057322415,0.057322415,0.009553736,0.007854577,0.032046402,0.051981525,1.11022E-16,4.51028E-17,1.67234E-75,1.31574E-68,4.76572E-62,7.94701E-56,6.10091E-50,2.15626E-44,0.135572772,0.195132146,0.005539767,0.000358187,1.06621E-05,1.46115E-07,9.2185E-10,2.67758E-12,0.024261833,0.030784195,0.000598734,3.41272E-05,8.95536E-07,0.05450572,0.010734295,0.019082913,0.02780378,5.06306E-05,0.008144049,1.68973E-07,2.61189E-24,2.72929E-28,1.31298E-32,0.251281127,0.251281127,0,0,0,0,0,0,0,0,0,0,0,0,5.0304,0,1.8924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.125,12,17,12,11,16,13.05555556,8.3,14,13,8,11,14.16666667,18.45070423,10,15,9.25,11,11,11,8,10,11.5,14.25,21.66666667,23,22.33333333,11,15,8.5,10,21,17,18.05263158,14,10,15,7,5,5,6,9,10,16.05,13,14.05263158,13,11,16.6,11,19.59090909,26.14814815,30.77777778,22.5,27.66666667,10.22222222,19.16666667,6,11,17,19.5,8,17,11,16,19.5,13.25,14,12.33333333,15,16,16,15,13,16.33333333,15,22.05555556,11,16,21,18.33333333,15.05263158,21.25,0,0,8,0,0,0,0,0,0,0,0,0,24,24,0,12,0,0,5,TRUE
9,0.00638977,0.019068791,154,5,6,15.69,0,0,0,0,0,0,0,0,0,0.051981525,1.52656E-16,5.0307E-17,1.67234E-75,1.31574E-68,4.76572E-62,7.94701E-56,6.10091E-50,2.15626E-44,0.135572772,0.195132146,0.005539767,0.000358187,1.06621E-05,1.46115E-07,9.2185E-10,2.67758E-12,0.024261833,0.030784195,0.000598734,3.41272E-05,8.95536E-07,0.05450572,0.010734295,0.019082913,0.02780378,5.06306E-05,0.008144049,1.68973E-07,2.61189E-24,2.72929E-28,1.31298E-32,0.37692169,0.37692169,0,0,0,0,0,0,0,0,0,0,0,0,5.0304,0,1.8924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,4,6,6,3,11,9,6,9,6,7,6,8,5,7,12,4,6,6,10,1,5,11,8.333333333,13,16,9,6,7,1,4,9,6,6,3,4,11,2,0,10,4,0,11,12,11,7,4,9,9,9,16,22,18,11,9,9.666666667,5,0,8,1,8,8,5,6,7,11,9,9,7,5,8,8,8,10.5,11,11,5,5,7,10,7,23,0,0,8,0,0,0,0,0,0,0,0,0,24,24,0,12,0,0,6,TRUE
10,0.00638977,0.019068791,154,5,6,15.69,0,0,0,0,0,0,0,0,0,0.051981525,8.32667E-17,3.46945E-17,1.67234E-75,1.31574E-68,4.76572E-62,7.94701E-56,6.10091E-50,2.15626E-44,0.135572772,0.195132146,0.005539767,0.000358187,1.06621E-05,1.46115E-07,9.2185E-10,2.67758E-12,0.024261833,0.030784195,0.000598734,3.41272E-05,8.95536E-07,0.05450572,0.010734295,0.019082913,0.02780378,5.06306E-05,0.008144049,1.68973E-07,2.61189E-24,2.72929E-28,1.31298E-32,0.412959721,0.412959721,0,0,0,0,0,0,0,0,0,0,0,0,5.0304,0,1.8924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,24,24,0,12,0,0,4,TRUE
11,0.00638977,0.019068791,154,5,6,15.69,0,0,0,0,0.057322415,0.057322415,0.009553736,0.007854577,0.032046402,0.051981525,1.52656E-16,4.33681E-17,1.67234E-75,1.31574E-68,4.76572E-62,7.94701E-56,6.10091E-50,2.15626E-44,0.135572772,0.195132146,0.005539767,0.000358187,1.06621E-05,1.46115E-07,9.2185E-10,2.67758E-12,0.024261833,0.030784195,0.000598734,3.41272E-05,8.95536E-07,0.05450572,0.010734295,0.019082913,0.02780378,5.06306E-05,0.008144049,1.68973E-07,2.61189E-24,2.72929E-28,1.31298E-32,0.442827232,0.442827232,0,0,0,0,0,0,0,0,0,1.5841,0,0,2.9409,0,0.5532,1.6235,0.4766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,8,8,0,2,6,2,5,TRUE
12,0.00638977,0.019068791,154,5,6,15.69,0,0,0,0,0,0,0,0,0,0.051981525,1.73472E-16,5.37764E-17,1.67234E-75,1.31574E-68,4.76572E-62,7.94701E-56,6.10091E-50,2.15626E-44,0.135572772,0.195132146,0.005539767,0.000358187,1.06621E-05,1.46115E-07,9.2185E-10,2.67758E-12,0.024261833,0.030784195,0.000598734,3.41272E-05,8.95536E-07,0.05450572,0.010734295,0.019082913,0.02780378,5.06306E-05,0.008144049,1.68973E-07,2.61189E-24,2.72929E-28,1.31298E-32,0.472694743,0.472694743,0,0,0,0,0,0,0,0,0,0,0,0,5.0304,0,1.8924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,24,24,0,12,0,0,1,TRUE
13,-0.01136564,0.021316388,154,5,6,15.69,0,0,0,0,0,0,0,0,0,0.051981525,1.66533E-16,5.72459E-17,6.7162E-76,7.73422E-69,3.96348E-62,9.03868E-56,9.17276E-50,4.1425E-44,0.174891959,0.186813624,0.001768187,7.40689E-05,1.38074E-06,1.14539E-08,4.22827E-11,6.94976E-14,0.031473761,0.025055581,9.81693E-05,3.06479E-06,4.25787E-08,0.063248998,0.019569219,0.015931029,0.027981534,0.001779839,0.007046348,3.54036E-11,3.90258E-32,7.37375E-37,6.2E-42,0.248939998,0.248939998,0,0,0,0,0,0,0,0,0,0,0,6.0654,5.1736,6.0968,0,1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.333333333,3,0,5,3.5,5,5.058823529,2,5,5,4,2,5.4,7.8,1,2,3,3.5,2,5,5,3,5.75,2,15.11666667,14.57142857,14.46666667,2,3,4.5,3,1,6,5.5,1,3,0,0,6.4,7.4,1,0,1,5,2,4,1,2,4.5,3.25,12.64285714,17.14285714,15.13333333,19.89285714,14.96666667,7,4.5,4,1,3.5,1,5,1,3.5,2,6.5,1,4,6.5,6,5.4,4,1,5,3.5,1,5.058823529,3.5,5.333333333,7.4,7,9,3.416666667,0,0,8,0,0,0,0,0,0,0,0,0,0,24,32,0,12,0,5,TRUE
14,-0.01136564,0.021316388,154,5,6,15.69,0,0,0,0,0.229289661,0.229289661,0.019107472,0.023037809,0.124391216,0.051981525,9.71445E-17,3.1225E-17,6.7162E-76,7.73422E-69,3.96348E-62,9.03868E-56,9.17276E-50,4.1425E-44,0.174891959,0.186813624,0.001768187,7.40689E-05,1.38074E-06,1.14539E-08,4.22827E-11,6.94976E-14,0.031473761,0.025055581,9.81693E-05,3.06479E-06,4.25787E-08,0.063248998,0.019569219,0.015931029,0.027981534,0.001779839,0.007046348,3.54036E-11,3.90258E-32,7.37375E-37,6.2E-42,0.497879997,0.497879997,0,0,0,0,0,0,0,0,0,0,0,6.0654,5.1736,6.0968,0,1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9.9375,5,6.454545455,7,9.75,13,9.461538462,9.428571429,9,14.96969697,11,13,9.606837607,10,6.571428571,12.33333333,7,3,11.75,4,8,5,7.75,18.70588235,13,30.70588235,12.75,7,8,10,7,6,6.75,11.75,8.678571429,11.33333333,15.63636364,7,5,14.63636364,16.33333333,6.678571429,9,10,8.75,4.454545455,6,7,9,14.75,23,20.03921569,15,24.70588235,12,9.75,10,9,6.6875,10,8,14.75,11.41666667,7,5,14.33333333,2.571428571,14.2,7,9,8,13.96969697,8.583333333,5.6,8,7,10.75,5,10.45454545,7.705882353,12,10,0,0,8,0,0,0,0,0,0,0,0,0,0,24,32,0,12,0,6,TRUE
15,-0.01136564,0.021316388,154,5,6,15.69,0,0,0,0,0,0,0,0,0,0.051981525,2.35922E-16,1.00614E-16,6.7162E-76,7.73422E-69,3.96348E-62,9.03868E-56,9.17276E-50,4.1425E-44,0.174891959,0.186813624,0.001768187,7.40689E-05,1.38074E-06,1.14539E-08,4.22827E-11,6.94976E-14,0.031473761,0.025055581,9.81693E-05,3.06479E-06,4.25787E-08,0.063248998,0.019569219,0.015931029,0.027981534,0.001779839,0.007046348,3.54036E-11,3.90258E-32,7.37375E-37,6.2E-42,0.438701513,0.438701513,0,0,0,0,0,0,0,0,0,0,0,6.0654,5.1736,6.0968,0,1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,24,32,0,12,0,4,TRUE
16,-0.01136564,0.021316388,154,5,6,15.69,0,0,0,0,0,0,0,0,0,0.051981525,7.63278E-17,2.08167E-17,6.7162E-76,7.73422E-69,3.96348E-62,9.03868E-56,9.17276E-50,4.1425E-44,0.174891959,0.186813624,0.001768187,7.40689E-05,1.38074E-06,1.14539E-08,4.22827E-11,6.94976E-14,0.031473761,0.025055581,9.81693E-05,3.06479E-06,4.25787E-08,0.063248998,0.019569219,0.015931029,0.027981534,0.001779839,0.007046348,3.54036E-11,3.90258E-32,7.37375E-37,6.2E-42,0.628463027,0.628463027,0,0,0,0,0,0,0,0,0,0,0,2.6418,3.0046,3.3194,0,0.5529,0.4869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,1.666666667,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,2,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8,10,0,2,2,5,TRUE
17,-0.01136564,0.021316388,154,5,6,15.69,0,0,0,0,0,0,0,0,0,0.051981525,2.56739E-16,8.1532E-17,6.7162E-76,7.73422E-69,3.96348E-62,9.03868E-56,9.17276E-50,4.1425E-44,0.174891959,0.186813624,0.001768187,7.40689E-05,1.38074E-06,1.14539E-08,4.22827E-11,6.94976E-14,0.031473761,0.025055581,9.81693E-05,3.06479E-06,4.25787E-08,0.063248998,0.019569219,0.015931029,0.027981534,0.001779839,0.007046348,3.54036E-11,3.90258E-32,7.37375E-37,6.2E-42,0.557058481,0.557058481,0,0,0,0,0,0,0,0,0,0,0,6.0654,5.1736,6.0968,0,1.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,1,1.5,1,3.6,1,1,0,1,3,6.931818182,2,0,1,3,2,4.5,2,0,0,0,1,0,0,0,2.666666667,1,0,1,2,2,2,2,0,0,0,0,0,0,1,1,0,3,3,1,0,1,0,0,0,0,1,0,1,0,0,2.083333333,0,3.75,0,0,2,1,0,1,3,1,2,1,0,2,3.545454545,1,1,1.5,3.25,3.75,1,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,24,32,0,12,0,1,TRUE
