Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17  ,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Cluster 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30,Cluster 31,Cluster 32,Cluster 33,Cluster 34,Cluster 35,Cluster 36,Cluster 37  ,Cluster 38,Cluster 39,Cluster 40,Cluster 41,Cluster 42,Cluster 43,Cluster 44,Cluster 45,Cluster 46,Cluster 47,Cluster 48,Cluster 49,Cluster 50,Cluster 51,Cluster 52,Cluster 53,Cluster 54,Cluster 55,Cluster 56,Cluster 57,Cluster 58,Cluster 59,Cluster 60,Cluster 61,Cluster 62,Cluster 63,Cluster 64,Cluster 65,Cluster 66,Cluster 67,Cluster 68,Cluster 69,Cluster 70,Cluster 71,Cluster 72,Cluster 73,Cluster 74,Cluster 75,Cluster 76,Cluster 77,Cluster 78,Cluster 79,Cluster 80,Cluster 81,Cluster 82,Cluster 83,Cluster 84,Cluster 85,Cluster 86,Cluster 87,Cluster 88,Cluster 89,Cluster 90,Cluster 91,Cluster 92,Cluster 93,Cluster 94,Cluster 95,Cluster 96,Cluster 97,Cluster 98,Cluster 99,Cluster 100,Cluster 101,Cluster 102,Cluster 103,Lattice Constant Mismatch ,Electronegativity Difference,Mo,Zr,Composition
-0.25,-0.333333333,-0.25,-0.25,-0.25,-0.333333333,-0.25,-0.166666667,-0.25,-0.25,-0.25,-0.333333333,-0.25,-0.333333333,-0.333333333,-0.25,-0.25,-0.25,0,-0.25,-0.25,-0.166666667,-0.25,-0.25,-0.25,0,-0.25,-0.333333333,-0.333333333,-0.25,-0.25,-0.25,-0.25,-0.25,-0.333333333,-0.25,-0.25,-0.166666667,-0.25,-0.25,-0.333333333,-0.416666667,-0.375,-0.458333333,-0.375,-0.416666667,-0.375,-0.375,-0.416666667,-0.375,-0.375,-0.375,-0.416666667,-0.375,-0.416666667,-0.416666667,-0.416666667,-0.5,-0.416666667,-0.416666667,-0.375,-0.416666667,-0.375,-0.375,-0.375,-0.375,-0.291666667,-0.416666667,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.291666667,-0.333333333,-0.375,-0.375,-0.416666667,-0.416666667,-0.291666667,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.333333333,-0.375,-0.416666667,-0.375,-0.5,-0.5,-0.4375,-0.5,-0.479166667,-0.5,-0.416666667,-0.5,-0.5,-0.5,-0.5,-0.5,0.07099631,0.053763441,0.5,0.5,Mo0.5.Zr0.5
-0.25,-0.166666667,-0.333333333,-0.25,-0.5,0,-0.25,-0.166666667,-0.333333333,-0.25,-0.25,0,-0.25,-0.166666667,-0.166666667,-0.333333333,-0.25,-0.5,0,-0.25,-0.25,-0.166666667,-0.333333333,-0.25,-0.25,0,-0.25,-0.166666667,-0.166666667,-0.333333333,-0.333333333,-0.25,-0.25,-0.5,0,-0.25,-0.25,-0.166666667,-0.333333333,-0.25,0,-0.333333333,-0.5,-0.333333333,-0.416666667,-0.333333333,-0.416666667,-0.416666667,-0.333333333,-0.416666667,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.333333333,-0.166666667,-0.25,-0.333333333,-0.416666667,-0.333333333,-0.416666667,-0.5,-0.416666667,-0.5,-0.333333333,-0.166666667,-0.166666667,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.5,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.5,-0.5,-0.5,-0.5,-0.5,-0.416666667,-0.5,-0.5,-0.5,-0.416666667,-0.333333333,-0.5,-0.5,-0.5,-0.5,-0.416666667,-0.5,0.07099631,0.053763441,0.5,0.5,Mo0.5.Zr0.5
-0.375,-0.166666667,-0.25,-0.208333333,-0.25,-0.333333333,-0.208333333,-0.333333333,-0.25,-0.208333333,-0.375,-0.333333333,-0.208333333,-0.166666667,-0.166666667,-0.25,-0.375,-0.25,0,-0.375,-0.208333333,-0.333333333,-0.25,-0.208333333,-0.375,0,-0.208333333,-0.166666667,-0.166666667,-0.25,-0.25,-0.208333333,-0.375,-0.25,-0.333333333,-0.375,-0.208333333,-0.333333333,-0.25,-0.208333333,-0.333333333,-0.458333333,-0.375,-0.291666667,-0.5,-0.291666667,-0.333333333,-0.416666667,-0.375,-0.333333333,-0.416666667,-0.333333333,-0.333333333,-0.5,-0.458333333,-0.416666667,-0.416666667,-0.333333333,-0.375,-0.291666667,-0.333333333,-0.291666667,-0.333333333,-0.416666667,-0.416666667,-0.333333333,-0.458333333,-0.416666667,-0.5,-0.458333333,-0.375,-0.458333333,-0.375,-0.375,-0.458333333,-0.416666667,-0.375,-0.375,-0.416666667,-0.416666667,-0.458333333,-0.416666667,-0.333333333,-0.416666667,-0.333333333,-0.333333333,-0.375,-0.416666667,-0.375,-0.333333333,-0.375,-0.5,-0.375,-0.5,-0.5,-0.5,-0.333333333,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0.07099631,0.053763441,0.5,0.5,Mo0.5.Zr0.5
-0.25,-0.5,0,-0.25,-0.5,0,-0.25,-0.5,0,-0.25,-0.25,0,-0.25,-0.5,-0.5,0,-0.25,-0.5,0,-0.25,-0.25,-0.5,0,-0.25,-0.25,0,-0.25,-0.5,-0.5,0,0,-0.25,-0.25,-0.5,0,-0.25,-0.25,-0.5,0,-0.25,0,-0.5,0,-0.5,-0.25,-0.5,-0.25,-0.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,0,-0.5,-0.25,-0.5,-0.25,-0.5,-0.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,0,0,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,0,-0.5,0,-0.5,0,-0.5,-0.5,-0.25,0,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,0.07099631,0.053763441,0.5,0.5,Mo0.5.Zr0.5
-0.2,-0.133333333,-0.2,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.166666667,-0.133333333,-0.2,-0.2,-0.2,-0.166666667,-0.133333333,-0.133333333,-0.166666667,-0.2,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.133333333,-0.133333333,-0.2,-0.2,-0.2,-0.2,-0.2,-0.166666667,0,-0.133333333,-0.166666667,-0.2,-0.2,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.2,-0.2,-0.2,-0.2,-0.166666667,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.133333333,-0.166666667,-0.2,-0.2,-0.166666667,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.166666667,-0.166666667,-0.2,-0.2,-0.2,-0.166666667,-0.166666667,-0.2,-0.2,-0.2,-0.166666667,-0.2,-0.166666667,-0.133333333,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,0.059324124,0.041666667,0.8,0.2,Mo0.8.Zr0.2
-0.3,-0.2,-0.3,-0.2,-0.3,-0.2,-0.2,-0.25,-0.2,-0.3,-0.3,-0.3,-0.25,-0.2,-0.2,-0.25,-0.3,-0.2,-0.3,-0.2,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.25,0,-0.2,-0.25,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.366666667,-0.4,-0.333333333,-0.4,-0.283333333,-0.333333333,-0.366666667,-0.333333333,-0.333333333,-0.366666667,-0.333333333,-0.366666667,-0.4,-0.333333333,-0.366666667,-0.366666667,-0.266666667,-0.283333333,-0.3,-0.333333333,-0.283333333,-0.333333333,-0.366666667,-0.366666667,-0.333333333,-0.366666667,-0.316666667,-0.333333333,-0.35,-0.316666667,-0.35,-0.3,-0.3,-0.366666667,-0.383333333,-0.35,-0.3,-0.283333333,-0.333333333,-0.333333333,-0.333333333,-0.283333333,-0.333333333,-0.283333333,-0.266666667,-0.333333333,-0.35,-0.3,-0.333333333,-0.366666667,-0.4,-0.4,-0.4,-0.4,-0.4,-0.333333333,-0.4,-0.4,-0.4,-0.4,-0.4,-0.4,0.070563848,0.052116803,0.6,0.4,Mo0.6.Zr0.4
-0.3,-0.2,-0.3,-0.2,-0.3,-0.2,-0.2,-0.25,-0.2,-0.3,-0.3,-0.3,-0.25,-0.2,-0.2,-0.25,-0.3,-0.2,-0.3,-0.2,-0.2,-0.3,-0.2,-0.2,-0.2,-0.2,-0.3,-0.3,-0.3,-0.3,-0.3,-0.25,0,-0.2,-0.25,-0.3,-0.3,-0.2,-0.3,-0.2,-0.2,-0.433333333,-0.5,-0.366666667,-0.5,-0.316666667,-0.366666667,-0.433333333,-0.366666667,-0.366666667,-0.433333333,-0.366666667,-0.433333333,-0.5,-0.366666667,-0.433333333,-0.433333333,-0.333333333,-0.316666667,-0.3,-0.366666667,-0.316666667,-0.366666667,-0.433333333,-0.433333333,-0.366666667,-0.433333333,-0.333333333,-0.366666667,-0.4,-0.333333333,-0.4,-0.35,-0.35,-0.433333333,-0.466666667,-0.4,-0.35,-0.316666667,-0.366666667,-0.366666667,-0.366666667,-0.316666667,-0.366666667,-0.316666667,-0.333333333,-0.366666667,-0.4,-0.3,-0.366666667,-0.433333333,-0.533333333,-0.5,-0.6,-0.6,-0.533333333,-0.4,-0.566666667,-0.6,-0.6,-0.6,-0.533333333,-0.6,0.068587994,0.053249777,0.4,0.6,Mo0.4.Zr0.6
-0.2,-0.133333333,-0.2,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.166666667,-0.133333333,-0.2,-0.2,-0.2,-0.166666667,-0.133333333,-0.133333333,-0.166666667,-0.2,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.133333333,-0.133333333,-0.2,-0.2,-0.2,-0.2,-0.2,-0.166666667,0,-0.133333333,-0.166666667,-0.2,-0.2,-0.133333333,-0.2,-0.133333333,-0.133333333,-0.333333333,-0.4,-0.266666667,-0.4,-0.233333333,-0.266666667,-0.333333333,-0.266666667,-0.266666667,-0.333333333,-0.266666667,-0.333333333,-0.4,-0.266666667,-0.333333333,-0.333333333,-0.266666667,-0.233333333,-0.2,-0.266666667,-0.233333333,-0.266666667,-0.333333333,-0.333333333,-0.266666667,-0.333333333,-0.233333333,-0.266666667,-0.3,-0.233333333,-0.3,-0.266666667,-0.266666667,-0.333333333,-0.366666667,-0.3,-0.266666667,-0.233333333,-0.266666667,-0.266666667,-0.266666667,-0.233333333,-0.266666667,-0.233333333,-0.266666667,-0.266666667,-0.3,-0.2,-0.266666667,-0.333333333,-0.466666667,-0.4,-0.6,-0.6,-0.466666667,-0.333333333,-0.533333333,-0.6,-0.8,-0.6,-0.533333333,-0.666666667,0.054476471,0.044444444,0.2,0.8,Mo0.2.Zr0.8
-0.083333333,-0.111111111,-0.138888889,-0.138888889,-0.083333333,-0.111111111,-0.138888889,-0.166666667,-0.138888889,-0.138888889,-0.083333333,-0.138888889,-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.138888889,-0.138888889,-0.083333333,-0.138888889,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.111111111,-0.138888889,-0.166666667,-0.138888889,-0.138888889,-0.111111111,-0.138888889,-0.083333333,-0.111111111,-0.138888889,-0.138888889,-0.138888889,-0.138888889,-0.111111111,-0.138888889,-0.083333333,-0.138888889,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.083333333,-0.138888889,-0.138888889,-0.166666667,-0.111111111,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.138888889,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.125,-0.166666667,-0.138888889,-0.138888889,-0.125,-0.166666667,-0.166666667,-0.138888889,-0.152777778,-0.152777778,-0.083333333,-0.083333333,-0.111111111,-0.111111111,-0.152777778,-0.166666667,-0.166666667,-0.083333333,-0.125,-0.152777778,-0.152777778,-0.166666667,-0.138888889,-0.111111111,-0.138888889,-0.166666667,-0.166666667,-0.138888889,-0.138888889,-0.152777778,-0.111111111,-0.152777778,-0.125,-0.166666667,-0.083333333,-0.138888889,-0.138888889,-0.152777778,-0.166666667,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.125,-0.166666667,-0.166666667,-0.152777778,-0.083333333,-0.111111111,-0.138888889,-0.152777778,-0.138888889,-0.125,-0.083333333,-0.138888889,-0.152777778,-0.111111111,-0.138888889,-0.138888889,-0.138888889,-0.138888889,-0.083333333,-0.125,-0.125,-0.138888889,-0.152777778,-0.152777778,-0.152777778,-0.111111111,-0.138888889,-0.152777778,-0.166666667,-0.138888889,-0.111111111,-0.125,-0.125,-0.111111111,-0.138888889,-0.152777778,-0.152777778,-0.138888889,-0.166666667,-0.138888889,-0.083333333,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.125,-0.152777778,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.159722222,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.159722222,-0.159722222,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.166666667,-0.055555556,-0.111111111,-0.166666667,-0.166666667,-0.055555556,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.166666667,0,-0.166666667,-0.055555556,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.055555556,-0.111111111,-0.166666667,-0.166666667,-0.055555556,-0.166666667,-0.111111111,-0.111111111,-0.166666667,0,-0.166666667,-0.166666667,-0.055555556,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.055555556,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.055555556,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.166666667,-0.111111111,-0.166666667,-0.138888889,-0.166666667,-0.055555556,-0.111111111,-0.138888889,-0.166666667,-0.166666667,-0.083333333,-0.111111111,-0.138888889,-0.111111111,-0.166666667,-0.138888889,-0.111111111,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.138888889,-0.138888889,-0.138888889,-0.055555556,-0.111111111,-0.138888889,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.055555556,-0.111111111,-0.138888889,-0.138888889,-0.166666667,-0.111111111,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.138888889,-0.138888889,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.138888889,-0.166666667,-0.152777778,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.083333333,-0.111111111,-0.166666667,-0.138888889,-0.083333333,-0.166666667,-0.166666667,-0.138888889,-0.166666667,0,-0.083333333,-0.111111111,-0.166666667,-0.138888889,-0.083333333,-0.166666667,-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.138888889,-0.138888889,-0.083333333,0,-0.166666667,-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.166666667,-0.083333333,-0.111111111,-0.166666667,-0.083333333,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.138888889,-0.138888889,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.138888889,-0.083333333,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.166666667,-0.166666667,-0.138888889,-0.111111111,-0.125,-0.166666667,-0.166666667,-0.138888889,-0.152777778,-0.138888889,-0.083333333,-0.083333333,-0.138888889,-0.111111111,-0.152777778,-0.166666667,-0.166666667,-0.083333333,-0.125,-0.138888889,-0.138888889,-0.166666667,-0.138888889,-0.138888889,-0.111111111,-0.166666667,-0.166666667,-0.138888889,-0.138888889,-0.152777778,-0.111111111,-0.138888889,-0.166666667,-0.166666667,-0.083333333,-0.111111111,-0.111111111,-0.152777778,-0.166666667,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.152777778,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.166666667,-0.166666667,-0.083333333,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.083333333,-0.125,-0.166666667,-0.166666667,-0.083333333,-0.166666667,0,-0.125,-0.166666667,-0.166666667,-0.083333333,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.083333333,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.083333333,-0.083333333,-0.125,0,-0.166666667,-0.166666667,-0.166666667,-0.083333333,-0.166666667,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.125,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.083333333,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.125,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.166666667,-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.055555556,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.083333333,-0.111111111,-0.138888889,-0.111111111,-0.166666667,-0.111111111,-0.111111111,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.138888889,-0.138888889,-0.055555556,-0.111111111,-0.166666667,-0.111111111,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.055555556,-0.111111111,-0.138888889,-0.138888889,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.111111111,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.083333333,-0.111111111,-0.138888889,-0.166666667,-0.138888889,-0.111111111,-0.083333333,-0.138888889,-0.138888889,-0.111111111,-0.138888889,-0.166666667,-0.138888889,-0.138888889,-0.083333333,-0.111111111,-0.111111111,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.138888889,-0.138888889,-0.111111111,-0.111111111,-0.166666667,-0.111111111,-0.138888889,-0.166666667,-0.166666667,-0.138888889,-0.111111111,-0.138888889,-0.083333333,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.111111111,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.138888889,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,-0.166666667,0.055546594,0.038686297,0.83,0.17,Mo0.83.Zr0.17
-0.083333333,-0.111111111,-0.166666667,-0.194444444,-0.166666667,-0.222222222,-0.222222222,-0.25,-0.222222222,-0.25,-0.166666667,-0.277777778,-0.277777778,-0.222222222,-0.222222222,-0.277777778,-0.222222222,-0.277777778,-0.166666667,-0.25,-0.25,-0.277777778,-0.25,-0.277777778,-0.194444444,-0.222222222,-0.222222222,-0.25,-0.166666667,-0.222222222,-0.222222222,-0.25,-0.083333333,-0.222222222,-0.277777778,-0.194444444,-0.194444444,-0.222222222,-0.111111111,-0.222222222,-0.166666667,-0.138888889,-0.25,-0.194444444,-0.166666667,-0.25,-0.277777778,-0.222222222,-0.194444444,-0.277777778,-0.222222222,-0.277777778,-0.222222222,-0.166666667,-0.25,-0.277777778,-0.277777778,-0.222222222,-0.305555556,-0.277777778,-0.277777778,-0.25,-0.277777778,-0.222222222,-0.222222222,-0.277777778,-0.305555556,-0.277777778,-0.333333333,-0.277777778,-0.305555556,-0.25,-0.305555556,-0.305555556,-0.333333333,-0.277777778,-0.25,-0.277777778,-0.305555556,-0.277777778,-0.305555556,-0.25,-0.305555556,-0.222222222,-0.277777778,-0.277777778,-0.277777778,-0.305555556,-0.333333333,-0.222222222,-0.25,-0.166666667,-0.25,-0.25,-0.333333333,-0.194444444,-0.222222222,-0.166666667,-0.25,-0.333333333,-0.194444444,-0.222222222,-0.222222222,0.068558428,0.049796252,0.67,0.33,Mo0.67.Zr0.33
