Cluster 1 ,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Cluster 6,Cluster 7,Cluster 8,Cluster 9 ,Cluster 10,Cluster 11,Cluster 12,Cluster 13,Cluster 14,Cluster 15,Cluster 16,Cluster 17,Cluster 18,Cluster 19,Cluster 20,Cluster 21,Cluster 22,Cluster 23,Custer 24,Cluster 25,Cluster 26,Cluster 27,Cluster 28,Cluster 29,Cluster 30,Cluster 31,Cluster 32,Cluster 33,Cluster 34
-0.25,-0.333333333,-0.25,-0.25,-0.25,-0.333333333,-0.25,-0.166666667,-0.25,-0.416666667,-0.375,-0.458333333,-0.375,-0.416666667,-0.375,-0.375,-0.416666667,-0.375,-0.375,-0.375,-0.416666667,-0.375,-0.5,-0.5,-0.4375,-0.5,-0.479166667,-0.5,-0.416666667,-0.5,-0.5,-0.5,-0.5,-0.5
-0.25,-0.166666667,-0.333333333,-0.25,-0.5,0,-0.25,-0.166666667,-0.333333333,-0.333333333,-0.5,-0.333333333,-0.416666667,-0.333333333,-0.416666667,-0.416666667,-0.333333333,-0.416666667,-0.5,-0.5,-0.5,-0.5,-0.416666667,-0.5,-0.5,-0.5,-0.416666667,-0.333333333,-0.5,-0.5,-0.5,-0.5,-0.416666667,-0.5
-0.375,-0.166666667,-0.25,-0.208333333,-0.25,-0.333333333,-0.208333333,-0.333333333,-0.25,-0.458333333,-0.375,-0.291666667,-0.5,-0.291666667,-0.333333333,-0.416666667,-0.375,-0.333333333,-0.416666667,-0.333333333,-0.333333333,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.333333333,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
-0.25,-0.5,0,-0.25,-0.5,0,-0.25,-0.5,0,-0.5,0,-0.5,-0.25,-0.5,-0.25,-0.25,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,0,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5
-0.125,-0.166666667,-0.208333333,-0.208333333,-0.125,-0.166666667,-0.208333333,-0.25,-0.208333333,-0.208333333,-0.375,-0.291666667,-0.25,-0.333333333,-0.416666667,-0.291666667,-0.291666667,-0.375,-0.25,-0.291666667,-0.291666667,-0.25,-0.25,-0.375,-0.375,-0.5,-0.291666667,-0.333333333,-0.25,-0.375,-0.5,-0.291666667,-0.333333333,-0.333333333
-0.1875,-0.25,-0.208333333,-0.1875,-0.125,-0.166666667,-0.1875,-0.166666667,-0.208333333,-0.375,-0.375,-0.458333333,-0.333333333,-0.375,-0.333333333,-0.354166667,-0.375,-0.333333333,-0.270833333,-0.270833333,-0.333333333,-0.3125,-0.5,-0.625,-0.4375,-0.5,-0.520833333,-0.666666667,-0.458333333,-0.625,-0.5,-0.583333333,-0.666666667,-0.666666667
-0.25,-0.083333333,-0.166666667,-0.25,-0.25,0,-0.25,-0.083333333,-0.166666667,-0.333333333,-0.25,-0.166666667,-0.416666667,-0.333333333,-0.416666667,-0.416666667,-0.333333333,-0.416666667,-0.5,-0.5,-0.25,-0.5,-0.416666667,-0.25,-0.5,-0.25,-0.416666667,-0.166666667,-0.5,-0.5,-0.5,-0.5,-0.416666667,-0.5
-0.25,-0.166666667,-0.208333333,-0.166666667,-0.125,-0.166666667,-0.166666667,-0.25,-0.208333333,-0.416666667,-0.375,-0.291666667,-0.458333333,-0.291666667,-0.291666667,-0.375,-0.333333333,-0.333333333,-0.291666667,-0.25,-0.291666667,-0.375,-0.583333333,-0.375,-0.625,-0.5,-0.541666667,-0.333333333,-0.625,-0.625,-0.75,-0.708333333,-0.583333333,-0.75
-0.25,-0.25,0,-0.25,-0.25,0,-0.25,-0.25,0,-0.5,0,-0.25,-0.25,-0.5,-0.25,-0.25,-0.5,-0.25,-0.5,-0.5,-0.25,-0.5,-0.75,-0.25,-0.25,0,-0.5,-0.25,-0.5,-0.5,-0.25,-0.75,-0.5,-0.75
-0.1875,-0.25,-0.25,-0.1875,0,0,-0.1875,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.1875,-0.1875,-0.25,-0.1875,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.1875,-0.25,-0.25,-0.1875,0,0,-0.1875,-0.25,-0.25,-0.375,-0.5,-0.5,-0.375,-0.375,-0.375,-0.375,-0.375,-0.375,-0.1875,-0.1875,-0.25,-0.1875,-0.5,-0.75,-0.5625,-0.75,-0.5625,-0.75,-0.5,-0.75,-0.75,-0.625,-0.75,-0.75
-0.25,-0.166666667,-0.166666667,-0.25,0,0,-0.25,-0.166666667,-0.166666667,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.166666667,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25,-0.25
-0.25,-0.166666667,-0.166666667,-0.25,0,0,-0.25,-0.166666667,-0.166666667,-0.416666667,-0.25,-0.25,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.416666667,-0.25,-0.25,-0.166666667,-0.25,-0.583333333,-0.25,-0.5,-0.25,-0.5,-0.25,-0.583333333,-0.5,-0.5,-0.666666667,-0.5,-0.666666667
-0.1,-0.133333333,-0.166666667,-0.166666667,-0.1,-0.133333333,-0.166666667,-0.2,-0.166666667,-0.166666667,-0.2,-0.2,-0.166666667,-0.2,-0.166666667,-0.2,-0.166666667,-0.2,-0.166666667,-0.2,-0.166666667,-0.1,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.166666667,-0.2,-0.2,-0.2,-0.2,-0.2
-0.15,-0.2,-0.166666667,-0.166666667,-0.15,-0.2,-0.166666667,-0.133333333,-0.166666667,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.183333333,-0.2,-0.2,-0.2,-0.183333333,-0.2,-0.15,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2
